Date,Open,High,Low,Close,Adj Close,Volume
2019-07-22,40.635674,40.815941,40.370018,40.626186,38.299816,12552100
2019-07-23,40.654648,41.015179,40.559772,40.882355,38.541313,19586900
2019-07-24,40.796963,40.796963,40.199242,40.692600,38.362423,18117800
2019-07-25,40.635674,40.796963,40.351044,40.483871,38.165653,17514600
2019-07-26,40.474384,40.958256,40.256168,40.882355,38.541313,21062200
2019-07-29,40.009487,40.796963,39.222012,39.326374,37.074436,64559200
2019-07-30,37.789375,38.178368,36.622391,36.802658,34.695236,95739700
2019-07-31,36.622391,37.637569,36.537003,36.850094,34.739952,56309400
2019-08-01,36.347248,36.641365,35.749527,36.290321,34.532307,51624900
2019-08-02,36.290321,36.565464,35.815941,36.053131,34.306610,29153600
2019-08-05,35.825428,35.891842,34.544594,35.066414,33.367695,46030200
2019-08-06,35.284630,35.398483,34.601517,35.056927,33.358662,31985800
2019-08-07,34.772297,34.895638,34.022770,34.705883,33.024628,32017300
2019-08-08,34.819733,35.056927,34.724857,34.981026,33.286438,23356400
2019-08-09,34.886147,34.943073,34.259960,34.487667,32.816978,25391700
2019-08-12,34.449715,34.459202,32.998104,33.576851,31.950287,43337600
2019-08-13,33.614799,33.975330,33.349148,33.396584,31.778753,45549500
2019-08-14,33.140419,33.187855,32.447819,32.485767,30.912060,38633400
2019-08-15,32.542694,32.808350,32.229603,32.713474,31.128735,30713700
2019-08-16,32.941177,33.216320,32.722961,32.874763,31.282211,30012300
2019-08-19,33.092979,33.510437,33.045540,33.377609,31.760700,21997300
2019-08-20,33.301708,33.358635,32.798862,32.836811,31.246098,19932500
2019-08-21,33.149906,33.320683,33.036053,33.083492,31.480827,19208700
2019-08-22,33.168880,33.425049,33.017078,33.282734,31.670420,16933100
2019-08-23,33.406071,33.538898,32.419353,32.580647,31.002340,27765300
2019-08-26,32.846298,33.074005,32.713474,33.055027,31.453743,17468700
2019-08-27,33.216320,33.292221,32.552181,32.580647,31.002340,24715400
2019-08-28,32.599621,33.349148,32.523720,33.282734,31.670420,26047900
2019-08-29,33.956356,33.956356,33.425049,33.519924,31.896118,19610300
2019-08-30,33.795067,33.889942,33.472485,33.728653,32.094734,18873300
2019-09-03,33.785580,34.421253,33.690701,34.269451,32.609337,26625000
2019-09-04,34.440228,34.535103,33.870968,33.994308,32.347523,20649400
2019-09-05,34.259960,34.611004,34.051235,34.478180,32.807953,22096800
2019-09-06,34.497154,34.696396,34.259960,34.629982,32.952400,20873400
2019-09-09,34.715370,34.952560,34.278938,34.943073,33.250328,24675600
2019-09-10,34.715370,35.464897,34.174572,35.464897,33.746872,32250400
2019-09-11,35.806450,35.825428,35.009487,35.493359,33.773956,16963200
2019-09-12,35.645161,35.692600,35.161289,35.370018,33.656590,16692300
2019-09-13,35.474384,35.673626,34.734344,35.018974,33.322548,24099600
2019-09-16,34.592030,35.123341,34.487667,34.943073,33.250328,19877100
2019-09-17,34.905125,34.914612,34.487667,34.629982,32.952400,22091900
2019-09-18,34.696396,34.838711,34.402279,34.516129,32.844063,19679600
2019-09-19,34.554081,34.886147,34.478180,34.639469,32.961430,17746400
2019-09-20,35.000000,35.341557,34.611004,34.810246,33.123932,45990700
2019-09-23,34.516129,34.715370,34.373814,34.383301,32.717670,17295200
2019-09-24,34.411766,34.705883,34.136623,34.165085,32.510025,24186600
2019-09-25,34.070210,34.487667,33.870968,34.060722,32.410713,20269700
2019-09-26,34.222012,34.383301,33.747627,33.946869,32.302380,17059700
2019-09-27,34.022770,34.478180,33.889942,34.364326,32.699615,17583700
2019-09-30,34.421253,34.449715,34.079697,34.089184,32.437805,17205400
2019-10-01,34.089184,34.174572,33.614799,33.614799,31.986399,22013000
2019-10-02,33.453510,33.462997,32.884251,32.922199,31.327353,22458000
2019-10-03,32.931690,33.652752,32.827324,33.633778,32.004456,22076100
2019-10-04,33.671726,34.136623,33.633778,34.089184,32.437805,18065300
2019-10-07,33.984821,34.402279,33.965843,33.994308,32.347523,11759400
2019-10-08,33.823528,34.041744,33.605312,33.614799,31.986399,14761300
2019-10-09,33.823528,34.051235,33.709679,33.861481,32.221127,13634300
2019-10-10,33.842506,34.165085,33.776093,33.956356,32.311405,12198700
2019-10-11,34.288425,34.705883,34.222012,34.259960,32.600307,18446100
2019-10-14,34.307400,34.487667,34.136623,34.440228,32.771839,8701000
2019-10-15,34.582542,34.857685,34.544594,34.629982,32.952400,15178200
2019-10-16,34.753319,34.867172,34.459202,34.478180,32.807953,14435800
2019-10-17,34.620495,34.924099,34.506641,34.592030,32.916290,15312100
2019-10-18,34.563568,34.819733,34.487667,34.592030,32.916290,14219200
2019-10-21,34.772297,34.800758,34.497154,34.592030,32.916290,13237100
2019-10-22,34.544594,34.819733,34.392788,34.563568,32.889206,14549400
2019-10-23,34.449715,34.895638,34.364326,34.886147,33.196156,14000600
2019-10-24,34.867172,34.952560,34.402279,34.525616,32.853092,19998400
2019-10-25,34.535103,34.990513,34.449715,34.886147,33.196156,17497700
2019-10-28,34.971539,35.559772,34.933586,35.370018,33.656590,25800300
2019-10-29,36.053131,36.774193,35.977230,36.252373,34.496201,32212000
2019-10-30,36.442123,36.831120,36.337761,36.508537,34.739956,22019400
2019-10-31,36.423149,36.603416,36.223907,36.404175,34.640648,24539900
2019-11-01,36.707779,36.944973,36.423149,36.423149,34.658703,19263200
2019-11-04,36.726757,36.755219,36.081593,36.081593,34.333694,17709700
2019-11-05,36.081593,36.148006,35.550285,35.559772,33.837151,21688500
2019-11-06,35.683113,35.796963,35.436432,35.683113,33.954517,18757300
2019-11-07,35.483871,35.654648,34.990513,35.018974,33.644596,22727300
2019-11-08,34.990513,35.256168,34.943073,35.151802,33.772209,26626900
2019-11-11,35.018974,35.113853,34.867172,35.037952,33.662830,12542900
2019-11-12,34.943073,35.189754,34.819733,35.075901,33.699291,13338400
2019-11-13,35.056927,35.056927,34.440228,34.724857,33.362022,25855300
2019-11-14,34.686909,34.876659,34.459202,34.677418,33.316448,25190600
2019-11-15,34.753319,35.550285,34.648956,35.370018,33.981865,36378800
2019-11-18,35.474384,35.521820,35.066414,35.313091,33.927170,18084500
2019-11-19,35.512333,35.749527,35.407970,35.730549,34.328243,26475100
2019-11-20,35.645161,35.759014,35.113853,35.151802,33.772209,19947600
2019-11-21,35.303604,35.996204,35.142315,35.806450,34.401165,20942600
2019-11-22,35.853889,36.442123,35.759014,36.366222,34.938969,25544000
2019-11-25,36.508537,36.888046,36.480076,36.698292,35.258007,31592400
2019-11-26,36.565464,36.612904,36.100571,36.328274,34.902515,34620600
